"Pozzallo","Italy","I.I.E.S - .G. La Pira Naut. School","36.733","14.833","2007-03-19","100","83.2","39.75","39.76"
"Pozzallo","Italy","I.I.E.S - .G. La Pira Naut. School","36.733","14.833","2007-03-22","100","81.4","39.133333333333","39.146"
"Pozzallo","Italy","I.I.E.S - .G. La Pira Naut. School","36.733","14.833","2007-03-23","100","80.2","38.716666666667","38.73"
"Toszek","Poland","Gimnazjum w Toszku","50.450","18.533","2007-03-22","100","121","50.416666666667","50.428"
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-04-26","","","44.633333333333",""
"Xewkija","Malta","Rosa Magro primary school","36.033","14.317","2007-04-16","14.5","7.1","26.083333333333","26.089"
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-05-11","","","50.433333333333",""
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-05-25","","","52.916666666667",""
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-05-11","100","64","32.616666666667","32.619"
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-05-25","100","57","29.666666666667","29.683"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-05-11","100","49.1","26.15","26.151"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-05-25","100","44.5","23.983333333333","23.989"
"Theux","Belgium","Institut Saint Roch","51.117","17.117","2007-05-25","90","51","29.533333333333","29.539"
"Xewkija","Malta","Rosa Magro primary school","36.033","14.317","2007-05-11","100","32","17.733333333333","17.745"
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-06-04","","","54.383333333333",""
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-06-06","","","54.05",""
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-06-08","","","54.766666666667",""
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-06-15","","","55.883333333333",""
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-06-20","","","55.766666666667",""
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-06-18","100","50","26.55","26.565"
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-06-20","100","50.5","26.783333333333","26.794"
"Xewkija","Malta","Rosa Magro primary school","36.033","14.317","2007-06-15","100","23","12.95","12.953"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-06-01","100","40.2","21.9","21.900"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-06-15","","","20.75","20.750"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-06-18","","","20.666666666667","20.667"
"Stanford","Kentucky USA","Home school","37.533","-84.667","2007-09-17","100","72","35.75","35.754"
"New York","NY USA","The Dwight School","40.783","-73.967","2007-09-19","100","82","39.35","39.352"
"Chillicothe","Ohio USA","Unioto High School","39.367","-83.017","2007-09-19","100","78","37.95","37.954"
"Warren","Oregon USA","Warren Elementary School","45.817","-122.883","2007-09-21","100","91.5","33.333333333333",""
"Adelaide","Australia","Hamilton Secondary College","-34.900","138.600","2007-09-21","100","-70","33.016666666667","34.992"
"Virginia Beach","Virginia USA","Princess Ann Middle School","36.750","-76.033","2007-09-24","","","37.183333333333",""
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-09-24","100","98.5","44.566666666667","44.567"
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-11-30","100","300","71.55","71.565"
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-11-09","","","14.45",""
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-11-16","","","13.683333333333",""
"Palma de Mallorca","Spain","Lycée français","39.567","-2.633","2007-11-09","100","154","57","57.002"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-11-09","100","180","60.933333333333","60.945"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-11-16","100","194","62.716666666667","62.731"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-11-30","100","224","65.933333333333","65.943"
"Palma de Mallorca","Spain","Lycée français","39.567","-2.633","2007-12-01","100","185","61.6","61.607"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-12-14","100","239","67.283333333333","67.295"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-12-20","100","240","67.366666666667","67.38"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2007-12-21","100","242","67.533333333333","67.548"
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-12-20","100","320","72.633333333333","72.646"
"Arras","France","Ecole Lafontaine","50.283","2.733","2007-12-21","100","335","73.366666666667","73.379"
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2007-12-12","","","8.9",""
"Barranha","Portugal","Matosinhos Barranha","41.317","-8.667","2007-12-14","27.3","55.7","63.883333333333","63.889"
"Beloeil","Canada","Ecole Le Tournesol","45.583","-73.200","2008-01-16","15","33","65.55","65.556"
"L’Albenc","France","Ecole de la Lèze","45.217","5.433","2008-01-28","12","23.9","63.333333333333","63.339"
"Beloeil","Canada","Ecole Le Tournesol","45.583","-73.200","2008-02-20","15","24","57.983333333333","57.995"
"Cañada de Gómez","Argentina","Centro Interactivo de Ciencia y Tecnología","-32.817","-61.400","2008-02-14","","","18.166666666667",""
"HôChiMinhCity","Vietnam","HAAC","10.767","106.650","2008-03-16","","","12.597",""
"Beloeil","Canada","Ecole Le Tournesol","45.583","-73.200","2008-03-18","15","16","46.833333333333","46.848"
"Meerut","India","NAS Inter College","28.983","77.717","2008-03-20","","","29.9",""
"Xiamen","China","Xiamen International School","24.450","118.067","2008-03-26","100","41","22.283333333333","22.294"
"Vastseliina","Estonia","Boarding School","57.750","27.267","2008-03-24","100","149","56.116666666667","56.133"
"Adelaide","Australia","Sowerbutts home school","-34.867","138.667","2008-03-21","100","-72","34.25","35.754"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2008-03-20","100","97","44.116666666667","44.128"
"Arras","France","Ecole Lafontaine","50.283","2.733","2008-03-24","100","120","50.183333333333","50.194"
"Beloeil","Canada","Ecole Le Tournesol","45.583","-73.200","2008-04-22","15","10","33.683333333333","33.69"
"Cluj Napoca","Romania","Colegiul Tehnic de Comunicatii Augustin Maior","46.767","23.600","2008-04-21","100","66.8","33.733333333333","33.743"
"Cluj Napoca","Romania","Colegiul Tehnic de Comunicatii Augustin Maior","46.767","23.600","2008-04-22","100","66.7","33.7","33.703"
"Cluj Napoca","Romania","Colegiul Tehnic de Comunicatii Augustin Maior","46.767","23.600","2008-04-23","100","66.6","33.65","33.664"
"Pujato","Argentina","Escuela Primaria Nº 1345","-33.017","-61.050","2008-05-19","100","133","53.05","53.061"
"Beloeil","Canada","Ecole Le Tournesol","45.583","-73.200","2008-05-16","15","7.5","26.55","26.565"
"Beloeil","Canada","Ecole Le Tournesol","45.583","-73.200","2008-05-20","15","7.0","25.016666666667","25.017"
"Cluj Napoca","Romania","Colegiul Tehnic de Comunicatii Augustin Maior","46.767","23.600","2008-05-21","100","49.6","26.366666666667","26.381"
"Cluj Napoca","Romania","Colegiul Tehnic de Comunicatii Augustin Maior","46.767","23.600","2008-05-30","100","46.0","24.716666666667","24.717"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2008-05-13","100","47.2","25.266666666667","25.267"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2008-05-20","100","44.0","23.733333333333","23.749"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2008-05-23","100","42.8","23.166666666667","23.171"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2008-05-30","100","40.4","21.983333333333","21.999"
"Arras","France","Ecole Lafontaine","50.283","2.733","2008-05-09","100","65.5","33.216666666667","33.225"
"Arras","France","Ecole Lafontaine","50.283","2.733","2008-05-13","100","61.0","31.366666666667","31.383"
"Arras","France","Ecole Lafontaine","50.283","2.733","2008-05-23","100","65.4","29.416666666667","29.423"
"Allahabad","India","National science Academy","25.450","81.833","2008-06-06","60","3","2.85","2.862"
"Allahabad","India","National science Academy","25.450","81.833","2008-06-16","59","2.4","2.3166666666667","2.329"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2008-06-03","100","39.7","21.666666666667","21.667"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2008-06-09","100","38.6","21.1","21.107"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2008-06-10","100","38.4","21","21.007"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2008-06-16","100","38.0","20.8","20.807"
"Beloeil","Canada","Ecole Le Tournesol","45.583","-73.200","2008-06-16","15","6.0","21.8","21.801"
"Cluj Napoca","Romania","Colegiul Tehnic de Comunicatii Augustin Maior","46.767","23.600","2008-06-09","100","44.0","23.733333333333","23.749"
"Cluj Napoca","Romania","Colegiul Tehnic de Comunicatii Augustin Maior","46.767","23.600","2008-06-10","100","43.7","23.6","23.605"
"Cluj Napoca","Romania","Colegiul Tehnic de Comunicatii Augustin Maior","46.767","23.600","2008-06-16","100","38.0","20.8","20.807"
"Adelaide","Australia","Sowerbutts home school","-34.867","138.667","2008-06-16","100","169","59.383333333333","59.387"
"Arras","France","Ecole Lafontaine","50.283","2.733","2008-06-09","100","53.3","28.05","28.058"
"Arras","France","Ecole Lafontaine","50.283","2.733","2008-06-16","100","50.7","26.883333333333","26.885"
"Pleiku","Vietnam","HAAC","13.983","108.000","2008-06-09","126","-23","9.6666666666667","10.345"
"Pujato","Argentina","Escuela Primaria Nº 1345","-33.017","-61.050","2008-06-09","100","143","55.033333333333","55.035"
"Xewkija","Malta","Rosa Magro primary school","36.033","14.317","2008-06-09","100","22","12.4","12.407"
"Cluj Napoca","Romania","Colegiul Tehnic de Comunicatii Augustin Maior","46.767","23.600","2008-07-26","12.5","6.56","27","27.690"
"Meerut","India","NAS Inter College","28.983","77.717","2008-07-26","12.5","2.2","9.9666666666667","9.982"
"Arras","France","Ecole Lafontaine","50.283","2.733","2008-08-25","12.5","10.2","39.2","39.214"
"Panamá city","Panamá","","8.533","-80.783","2008-08-25","12.5","0","0","0.000"
"Beloeil","Canada","Ecole Le Tournesol","45.583","-73.200","2008-09-22","15","16.5","47.716666666667","47.726"
"Caluire","France","Collège Charles Senard","45.783","4.833","2008-09-22","100","102","45.566666666667","45.567"
"Caseros","Argentina","Escuela ESB 5","-34.600","-58.567","2008-09-22","100","-74","34.5",""
"Cluj Napoca","Romania","Colegiul Tehnic de Comunicatii Augustin Maior","46.767","23.600","2008-09-22","100","105.4","46.5","46.506"
"Cluj Napoca","Romania","Colegiul Tehnic de Comunicatii Augustin Maior","46.767","23.600","2008-09-23","100","107.5","47.066666666667","47.070"
"New Delhi","India","Rukmini Devi public school","28.700","77.133","2008-09-22","19.7","10.7","28.5","28.508"
"Gorakhpur","India","Deen Dayal Upadhyay","26.750","83.383","2008-09-09","98","40","22.2","22.203"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2008-09-22","100","96.5","43.966666666667","43.98"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2008-09-23","100","97.5","44.266666666667","44.275"
"Meerut","India","NAS Inter College","28.983","77.717","2008-09-22","100","54","28.366666666667","28.369"
"Chitré","Panamá","Escuela Hipólito Pérez Tello","7.967","-80.417","2008-09-22","100","14.6","8.3","8.306"
"La Punta","Argentina","Parque Astronómico","-33.150","-66.300","2008-09-22","102","-72","34.783333333333","35.218"
"Beloeil","Canada","Ecole Le Tournesol","45.583","-73.200","2008-12-18","15","46","71.933333333333","71.94"
"Caseros","Argentina","Escuela ESB 5","-34.600","-58.567","2008-12-18","","","12","12.000"
"Chitré","Panamá","Escuela Hipólito Pérez Tello","7.967","-80.417","2008-12-22","100","59.3","30.666666666667","30.668"
"Chitré","Panamá","Escuela Hipólito Pérez Tello","7.967","-80.417","2008-12-23","100","62.5","32","32.005"
"Cluj Napoca","Romania","College National Pedagogique Gheoghe Lazar","46.767","23.633","2008-12-19","","","70.666666666667","70.668"
"Dimapur","India","Nagaland","25.900","93.733","2008-12-31","","","",""
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2008-12-08","100","234","66.85","66.861"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2008-12-21","100","242","67.533333333333","67.548"
"Marina di Carrara","Italy","M Buonarroti primary school","44.033","10.033","2008-12-17","10","23.1","66.583333333333","66.592"
"Marina di Carrara","Italy","M Buonarroti primary school","44.033","10.033","2009-03-20","10","9.6","43.816666666667","43.831"
"Voru","Estonia","Kreutzwald Gymnasium","57.850","27.017","2009-03-20","203","312","56.95","56.95"
"Teheran","Iran","Educational Observatory Zaferaniyeh","35.733","51.533","2009-03-20","","","0.56666666666667","35.57"
"Chitré","Panamá","Escuela Hipólito Pérez Tello","7.967","-80.417","2009-03-20","100","13","7.3333333333333","0733"
"Caseros","Argentina","Escuela ESB 5","-34.600","-58.567","2009-03-20","100","67.5","34.016666666667","34.019"
"Beloeil","Canada","Ecole Le Tournesol","45.583","-73.200","2009-03-20","15","15.3","45.566666666667","45.567"
"Pujato","Argentina","Escuela Primaria Nº 1345","-33.017","-61.050","2009-03-20","","","35",""
"Medvode","Slovenia","Osnovna šola Preska","46.133","14.417","2009-03-20","17","17.7","46.15","46.156"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2009-03-20","100","97","44.116666666667","44128"
"Caluire","France","Collège Charles Senard","45.783","4.833","2009-03-20","100","102","45.566666666667","45.567"
"Sfax","Tunisia","écoles de Sakiét Eddayer","34.800","10.780","2009-06-22","100","20.6","11.633333333333","11.64"
"Mirepoix","France","Ecole publique","43.750","0.667","2009-06-21","100","40","21.8","21.801"
"Caseros","Argentina","Escuela ESB 5","-34.600","-58.567","2009-06-22","100","40","56.016666666667","57.995"
"Lyon","France","INRP","45.733","4.833","2009-06-21","100","41","22.283333333333","22.294"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2009-06-22","100","37.7","20.666666666667","20.667"
"Jahidpur","India","Bal Vigyan Bhawan","28.917","77.717","2009-06-21","","","53",""
"Marina di Carrara","Italy","M Buonarroti primary school","44.033","10.033","2009-06-19","20","7.5","20.55","20.556"
"Caseros","Argentina","Escuela ESB 5","-34.600","-58.567","2009-09-23","100","-67","32.183333333333","33.822"
"Voru","Estonia","Kreutzwald Gymnasium","57.850","27.017","2009-09-27","130","201","57.1","57.107"
"Pujato","Argentina","Escuela Primaria Nº 1345","-33.017","-61.050","2009-09-23","83","60","34.15","35.863"
"New Delhi","India","Rukmini Devi public school","28.700","77.133","2009-09-27","19.5","11.6","30.733333333333","30.747"
"Medvode","Slovenia","Osnovna šola Preska","46.133","14.417","2009-09-22","17","17.7","46.15","46.156"
"Meerut","India","NAS Inter College","28.983","77.717","2009-09-22","77","42.7","29","29.01"
"Lafrançaise","France","Collège Antonin Perbosc","44.127","1.238","2009-09-22","100","96.5","43.966666666667","43.980"
"Beloeil","Canada","Ecole Le Tournesol","45.583","-73.200","2009-09-22","15","15","45","45.000"
"Marina di Carrara","Italy","M Buonarroti primary school","44.033","10.033","2009-09-22","20","19.33","44.016666666667","44.024"
